Order #,SB #,SKU,Item Description,Model,Qty,Category,Unit Retail,Ext. Retail,Brand,UPC,Department,Product Class,Subcategory
1176354,778005,1000029787,3/8 in. Drive Master Bit Socket Set (37-Piece) (Please be advised that sets may be missing pieces or otherwise incomplete.),H3DBS37PC,1,HARDWARE AND TOOLS,28.53,28.53,Husky,,Tools,,Ratchets & Sockets
1176354,777726,1000029787,3/8 in. Drive Master Bit Socket Set (37-Piece) (Please be advised that sets may be missing pieces or otherwise incomplete.),H3DBS37PC,1,HARDWARE AND TOOLS,28.53,28.53,Husky,,Tools,,Ratchets & Sockets
1176354,778005,508527,FAST TRACK STEEL 2-HANDLE HOOK,1784454,3,HARDWARE AND TOOLS,9.45,28.35,,,,,
1176354,777726,440969,BLACK PATIO DOOR HANDLE CLAM LATCH,C 1222,1,HARDWARE AND TOOLS,28.11,28.11,,,,,
1176354,777726,1006834733,6 Qt. Latching Storage Totes (Set of 3) (Please be advised that sets may be missing pieces or otherwise incomplete.),14805D04,3,HARDWARE AND TOOLS,9.34,28.02,Sterilite,,Storage & Organization,,Storage Bins
1176354,778005,761904,SIPHON FEED DETAIL SPRAY GUN,H4910DSG,1,HARDWARE AND TOOLS,28.01,28.01,,,,,
1176354,777726,376914,RIDGID HEPA PLEATED PAPER FLTER,VF6000,1,HARDWARE AND TOOLS,27.51,27.51,,,,,
1176354,778005,1002114461,Speed Out Cobalt Extractor (4-Piece) (Please be advised that sets may be missing pieces or otherwise incomplete.),1000369,1,HARDWARE AND TOOLS,27.45,27.45,Ontel Speed Out,,Tools,,Drill Bits
1176354,778005,629968,PATIO DOOR HANDLE BLACK ALUM/WOOD,C 1126,1,HARDWARE AND TOOLS,27.36,27.36,,,,,
1176354,778005,436249,"""MAKITA 3/8"""" KEYLESS CHUCK DRIVER""",763198-1,1,HARDWARE AND TOOLS,27.33,27.33,,,,,
1176354,778005,1003433675,3/8 in. Drive Thin Wall Deep Impact Socket Set MM (10-Piece) (Please be advised that sets may be missing pieces or otherwise incomplete.),H3DHYBMM10PC,1,HARDWARE AND TOOLS,26.8,26.8,Husky,,Tools,,Ratchets & Sockets
1176354,778005,1001669661,64 Qt. Latching Storage Box,14978006,2,HARDWARE AND TOOLS,13.38,26.76,Sterilite,,Storage & Organization,,Storage Bins
1176354,778005,1001381274,1/2 in. Drive Hex Bit Impact Socket Set SAE (7-Piece) (Please be advised that sets may be missing pieces or otherwise incomplete.),H2DSAEHBI7PC,1,HARDWARE AND TOOLS,26.66,26.66,Husky,,Tools,,Ratchets & Sockets
1176354,777726,1001381274,1/2 in. Drive Hex Bit Impact Socket Set SAE (7-Piece) (Please be advised that sets may be missing pieces or otherwise incomplete.),H2DSAEHBI7PC,1,HARDWARE AND TOOLS,26.66,26.66,Husky,,Tools,,Ratchets & Sockets
1176354,777726,1005143255,3/8 in. Drive 144-Tooth Pro Ratchet,H14438FPRAT,1,HARDWARE AND TOOLS,26.64,26.64,Husky,,Tools,,Ratchets & Sockets
1176354,778005,770577,HUSKY 3PC UNIVERSAL JOINT SET (Please be advised that sets may be missing pieces or otherwise incomplete.),HUNIV3PC,2,HARDWARE AND TOOLS,13.29,26.58,,,,,
1176354,777726,1001592741,250-Lumen and 80-Lumen LED Flashlight Combo (2-Pack) (Please be advised that sets may be missing pieces or otherwise incomplete.),HD-1573,2,HARDWARE AND TOOLS,13.29,26.58,Defiant,,Tools,,Hands Free Flashlights
1176354,778005,1002697292,CONCEALED HINGE JIG,KHI-HINGE,1,HARDWARE AND TOOLS,26.57,26.57,,,,,
1176354,777726,1007583343,CABINET DOOR INSTALLATION JIG,KHI-CDIJ,1,HARDWARE AND TOOLS,26.57,26.57,,,,,
1176354,778005,1001380404,1/2 in. Drive 100-Position Low-Profile Long Handle Ratchet,H10012RAT,1,HARDWARE AND TOOLS,26.52,26.52,Husky,,Tools,,Ratchets & Sockets
1176354,778005,1004697152,Pismo Round Matte Black Hall/Closet Door Knob Featuring Microban Antimicrobial Technology,97200-887,1,HARDWARE AND TOOLS,26.5,26.5,Kwikset,,Hardware,,Door Knobs
1176354,777726,1004697152,Pismo Round Matte Black Hall/Closet Door Knob Featuring Microban Antimicrobial Technology,97200-887,1,HARDWARE AND TOOLS,26.5,26.5,Kwikset,,Hardware,,Door Knobs
1176354,778005,1000055179,1/4 in. x 100 ft. Polyurethane Air Hose,14-100-HOM,1,HARDWARE AND TOOLS,26.22,26.22,Husky,,Tools,,Air Compressor Parts & Accessories
1176354,777726,1000055179,1/4 in. x 100 ft. Polyurethane Air Hose,14-100-HOM,1,HARDWARE AND TOOLS,26.22,26.22,Husky,,Tools,,Air Compressor Parts & Accessories
1176354,778005,1003097321,MEDIUM STROKE AIR HAMMER,H4630,1,HARDWARE AND TOOLS,25.98,25.98,Husky,,Tools,,Air Tools
1176354,777726,1005404449,HUSKY 25PC PRECISION SCREWDRIVER SET (Please be advised that sets may be missing pieces or otherwise incomplete.),432360240,2,HARDWARE AND TOOLS,12.99,25.98,,,Tools,,Screwdrivers & Nut Drivers
1176354,777726,901109,ANVIL STRAIGHT CUT AVIATION SNIP-3PK (Please be advised that sets may be missing pieces or otherwise incomplete.),007-540-WKF,2,HARDWARE AND TOOLS,12.85,25.7,,,,,
1176354,777726,1004714739,16 ft. x 1-5/16 in. Wide Blade Magnetic Tape Measure with 16 ft. Reach,48-22-0216M,1,HARDWARE AND TOOLS,25.63,25.63,Milwaukee,,Tools,,Measuring Tools
1176354,778005,994682,COAST G25 LED FLASHLIGHT,HD7547CP,2,HARDWARE AND TOOLS,12.73,25.46,,,,,
